Frequency_kHz,Attenuation_dB
5.485163526,-2.105263158
9.20781893,0
10.28806584,0
15.01335644,-6.736842105
15.62612808,-7.263157895
19.83160061,-2.736842105
21.38293264,-1.789473684
24.15980796,-1.894736842
30.17561909,-2.210526316
35.13193993,-0.105263158
37.58844127,-1.578947368
40.04043029,-3.578947368
43.11331312,-5.157894737
45.42903039,-5.052631579
49.46574255,-2.210526316
51.16146849,-2.421052632
54.21269222,-6.526315789
55.28842683,-7.052631579
59.7962241,-3.263157895
