order_food,angle,direction,number,tuned (Y/N),functional (Y/N),TO FIX?
0,0,LR,6,Y,Y,
1,16,LR,6,Y,Y,
2,31,LR,6,Y,Y,
3,49,LR,6,Y,Y,
4,62,LR,6,Y,Y,
5,82,LR,6,Y,Y,
6,100,LR,6,Y,Y,
7,116,LR,6,Y,Y,
8,132,LR,6,Y,Y,
0,0,LL,5,Y,Y,
1,19,LL,5,Y,Y,
2,36,LL,5,Y,Y,
3,56,LL,5,Y,Y,
4,73,LL,5,Y,Y,
5,95,LL,5,Y,Y,
6,115,LL,5,Y,Y,
7,134,LL,5,Y,Y,
8,155,LL,5,Y,Y,
0,0,RL,9,Y,Y,
1,20,RL,9,Y,Y,
2,37,RL,9,Y,Y,
3,50,RL,9,Y,Y,
4,71,RL,9,Y,Y,
5,91,RL,9,Y,Y,
6,109,RL,9,Y,Y,
7,122,RL,9,Y,Y,
8,142,RL,9,Y,Y,
0,0,RR,10,Y,Y,
1,24,RR,10,Y,Y,
2,40,RR,10,Y,Y,
3,58,RR,10,Y,Y,
4,73,RR,10,Y,Y,
5,96,RR,10,Y,Y,
6,126,RR,10,Y,Y,
7,144,RR,10,Y,Y,
8,164,RR,10,Y,Y,
