Trial type	reward location
RR	1
RL	2
LL	3
LR	4
RR	1
RL	2
LL	3
LR	4
RR	1
RL	2
LL	3
LR	4
RR	1
RL	2
LL	3
LR	4
RR	1
RL	2
LL	3
LR	4
RR	1
RL	2
LL	3
LR	4
RR	1
RL	2
LL	3
LR	4
RR	1
RL	2
LL	3
LR	4
RR	1
RL	2
LL	3
LR	4
RR	1
RL	2
LL	3
LR	4
RR	1
RL	2
LL	3
LR	4
RR	1
RL	2
LL	3
LR	4
RR	1
RL	2
LL	3
LR	4
RR	1
RL	2
LL	3
LR	4
RR	1
RL	2
LL	3
LR	4
RR	1
RL	2
LL	3
LR	4
RR	1
RL	2
LL	3
LR	4
RR	1
RL	2
LL	3
LR	4
RR	1
RL	2
LL	3
LR	4
RR	1
RL	2
LL	3
LR	4
RR	1
RL	2
LL	3
LR	4
RR	1
RL	2
LL	3
LR	4
RR	1
RL	2
LL	3
LR	4
RR	1
RL	2
LL	3
LR	4
RR	1
RL	2
LL	3
LR	4
